id,label,type,description,lens,examples,terminology,notes
ability to adapt to remote teaching ⎻ subject: education (instructor),ability to adapt to remote teaching,, ⎻ subject: education (instructor),individual/human,,,
capacity to simulate normal life ⎻ subject: online game,capacity to simulate normal life,, ⎻ subject: online game,digital,,,
capacity to support children ⎽ when: during the COVID-19 pandemic,capacity to support children,, ⎽ when: during the COVID-19 pandemic,individual/human,,,
ability to adapt to remote learning ⎻ subject: education (learner),ability to adapt to remote learning,, ⎻ subject: education (learner),individual/human,,,
ability to review curriculum material ⎻ subject: education (learner),ability to review curriculum material,, ⎻ subject: education (learner),individual/human,,,
ability to anticipate reactions ⎻ subject: education (instructor),ability to anticipate reactions,, ⎻ subject: education (instructor),individual/human,,,
access to basic necessities,access to basic necessities,,,social,"food, water, and shelter",,
access to online work materials ⎼ where: from home,access to online work materials,, ⎼ where: from home,digital,,,
freedom to be with family members ⎼ where: in the hospital,freedom to be with family members,, ⎼ where: in the hospital,governmental/political,,,
ability to learn curriculum,ability to learn curriculum,,,individual/human,,,
access to health insurance,access to health insurance,,,financial,,,
capacity to afford treatment,capacity to afford treatment,,,financial,,,
access to work from home equipment,access to work from home equipment,,,financial,,,
 of academic performance, of academic performance,,,individual/human,,,
freedom to avoid uncomfortable topics,freedom to avoid uncomfortable topics,,,cultural,,,
strength of creativity,strength of creativity,,,individual/human,,,
capacity to break into smaller group conversations,capacity to break into smaller group conversations,,,social,,,
ability to be a caregiver,ability to be a caregiver,,,individual/human,,,
"access to celebrations, rituals, and festivities","access to celebrations, rituals, and festivities",,,cultural,,,
ability to prepare parents to support students' learning,ability to prepare parents to support students' learning,,,individual/human,,,
ability to communicate online,ability to communicate online,,,individual/human,,,
independence in completing assignments,independence in completing assignments,,,individual/human,,,
ability to complete educational degree,ability to complete educational degree,,,individual/human,,,
capacity to concentrate,capacity to concentrate,,,individual/human,,,
capacity to coordinate schedule with coworkers,capacity to coordinate schedule with coworkers,,,social,,,
ability to delegate work,ability to delegate work,,,individual/human,,,
capacity to perform acts of service for loved ones,capacity to perform acts of service for loved ones,,,social,,,
capacity to perform home renovations ⎽ when: during the week,capacity to perform home renovations,, ⎽ when: during the week,manufactured,,,
access to livable wage ⎽ when: during the COVID-19 pandemic,access to livable wage,, ⎽ when: during the COVID-19 pandemic,financial,,,
capacity to eat dinner late,capacity to eat dinner late,,,individual/human,,,
capacity to exercise ⎼ where: at home,capacity to exercise,, ⎼ where: at home,individual/human,,,
access to employment ⎽ when: during the COVID-19 pandemic,access to employment,, ⎽ when: during the COVID-19 pandemic,social,,,
ability to help others study remotely,ability to help others study remotely,,,individual/human,,,
access to videoconferencing,access to videoconferencing,,,digital,,,
access to privacy,access to privacy,,,individual/human,,,
freedom to pursue recreational activities ⎼ where: indoors,freedom to pursue recreational activities,, ⎼ where: indoors,individual/human,,,
freedom to socialize ⎼ where: indoors,freedom to socialize,, ⎼ where: indoors,social,,,
freedom to pursue recreational activities ⎼ where: outdoors,freedom to pursue recreational activities,, ⎼ where: outdoors,individual/human,,,
freedom to socialize ⎼ where: outdoors,freedom to socialize,, ⎼ where: outdoors,individual/human,,,
ability to interpret facial expressions,ability to interpret facial expressions,,,social,,,
ability to recognize TB symptoms,ability to recognize TB symptoms,,,individual/human,,,
independence in running errands ⎽ when: during quarantine,independence in running errands,, ⎽ when: during quarantine,individual/human,,,
capacity to sleep,capacity to sleep,,,individual/human,,,
capacity to sleep ⎽ when: in the morning,capacity to sleep,, ⎽ when: in the morning,individual/human,,,
freedom to speak openly,freedom to speak openly,,,cultural,,,
capacity to work,capacity to work,,,individual/human,,,
capacity to work from home,capacity to work from home,,,social,,,
acceptance of Directly Observed Treatment Short Course,acceptance of Directly Observed Treatment Short Course,,,individual/human,,DOTS,
access to community-based treatment programs,access to community-based treatment programs,,,social,,,
access to data ⎺ patient preferences,access to data,, ⎺ patient preferences,digital,,,
access to data ⎺ private healthcare sector dynamics,access to data,, ⎺ private healthcare sector dynamics,digital,,,
access to data ⎺ rationale for public-private provider coordination,access to data,, ⎺ rationale for public-private provider coordination,digital,,,
access to easy-to-prepare foods,access to easy-to-prepare foods,,,social,,,
access to facilitated linkage to care,access to facilitated linkage to care,,,social,,,
access to stigma-reduction activities,access to stigma-reduction activities,,,cultural,,,
access to incentives and assistance ⎺ financial and non-financial,access to incentives and assistance,, ⎺ financial and non-financial,financial,,,
access to fitness equipment,access to fitness equipment,,,manufactured,,,
access to food and transportation assistance,access to food and transportation assistance,,,governmental/political,,,
access to fresh air,access to fresh air,,,ecological/natural,,,
access to government financial assistance,access to government financial assistance,,,financial,,,
access to health services,access to health services,,,social,,,
access to masks,access to masks,,,manufactured,,,
support received from government ⎺ nutritional,support received from government,, ⎺ nutritional,governmental/political,,,
support received from peers ⎺ navigating healthcare,support received from peers,, ⎺ navigating healthcare,social,,,
support received from others ⎺ psychosocial,support received from others,, ⎺ psychosocial,social,,,
access to recreational activities ⎼ where:  at home,access to recreational activities,, ⎼ where:  at home,individual/human,,,
access to advanced testing technology ⎻ subject: provider (private),access to advanced testing technology,, ⎻ subject: provider (private),manufactured,,,
access to TB data,access to TB data,,,digital,,,
access to public TB services,access to public TB services,,,social,,,
access to transportation,access to transportation,,,manufactured,,,
quality of work output,quality of work output,,,individual/human,,,
adherence to prescription guidelines,adherence to prescription guidelines,,,individual/human,,,
time spent  adjusting to working in person,time spent  adjusting to working in person,,,individual/human,,,
strength of informal private healthcare administration,strength of informal private healthcare administration,,,,,,
practice of context-sensitive systems-oriented data analysis,practice of context-sensitive systems-oriented data analysis,,,social,,,
practice of data-for-reporting culture,practice of data-for-reporting culture,,,digital,,,
practice of digital adherence monitoring,practice of digital adherence monitoring,,,social,,,
use of digital technologies,use of digital technologies,,,digital,,,
use of direct cash-transfer scheme,use of direct cash-transfer scheme,,,governmental/political,,,
practice of family-member observed Directly Observed Treatment Short Course,practice of family-member observed Directly Observed Treatment Short Course,,,cultural,,DOTS,
practice of financial coping strategies,practice of financial coping strategies,,,financial,,,
use of modern data systems,use of modern data systems,,,digital,,,
use of new payment methods,use of new payment methods,,,digital,,,
practice of hygiene,practice of hygiene,,,cultural,,,
age of patient,age of patient,,,individual/human,,,
debt,debt,,,financial,,,
disturbance to virtual event,disturbance to virtual event,,,digital,,,
time spent  idle/free,time spent  idle/free,,,individual/human,,,
number of friends playing an online game,number of friends playing an online game,,,social,,,
awareness of patient TB care experience,awareness of patient TB care experience,,,social,,,
consumption of junk food,consumption of junk food,,,individual/human,,,
spending on pet care,spending on pet care,,,financial,,,
spending on utilities,spending on utilities,,,financial,,,
 of noisiness, of noisiness,,,individual/human,,,
availability of outdoor seating,availability of outdoor seating,,,manufactured,,,
use of personal protective equipment ⎼ where: outside the home,use of personal protective equipment,, ⎼ where: outside the home,manufactured,,,
access to personal protective equipment ⎺ from loved ones in other cities,access to personal protective equipment,, ⎺ from loved ones in other cities,manufactured,,,
 of pollution, of pollution,,,manufactured,,,
amount of sanitary packaging in delivery food,amount of sanitary packaging in delivery food,,,manufactured,,,
stress from peer pressure ⎺ online gaming,stress from peer pressure,, ⎺ online gaming,social,,,
stress from sociocultural norms ⎺ academic/professional success,stress from sociocultural norms,, ⎺ academic/professional success,cultural,,,
time spent  exercising,time spent  exercising,,,individual/human,,,
time spent  in lockdown,time spent  in lockdown,,,governmental/political,,,
time spent  assisting coworkers,time spent  assisting coworkers,,,social,,,
time spent  caregiving,time spent  caregiving,,,social,,,
time spent   commuting,time spent   commuting,,,individual/human,,,
time spent   cooking,time spent   cooking,,,individual/human,,,
time spent  on recreational activities ⎽ when: at night,time spent  on recreational activities,, ⎽ when: at night,individual/human,,,
time spent  in rush hour,time spent  in rush hour,,,individual/human,,,
time spent  on pet care,time spent  on pet care,,,individual/human,,,
time spent  on phone calls,time spent  on phone calls,,,individual/human,,,
time spent  planning events,time spent  planning events,,,individual/human,,,
time spent  on recreational activities,time spent  on recreational activities,,,individual/human,,,
time spent  on computer games,time spent  on computer games,,,individual/human,,,
time spent  cooking ⎺ for household,time spent  cooking,, ⎺ for household,social,,,
time spent   preparing tech requirements ⎺ for remote learning,time spent   preparing tech requirements,, ⎺ for remote learning,digital,,,
time spent   preparing tech requirements ⎺ for virtual events,time spent   preparing tech requirements,, ⎺ for virtual events,digital,,,
time spent   preparing tech requirements ⎺ for working from home,time spent   preparing tech requirements,, ⎺ for working from home,digital,,,
time spent  remote learning,time spent  remote learning,,,digital,,,
time spent   searching for new recipes,time spent   searching for new recipes,,,individual/human,,,
time spent   socializing with group members,time spent   socializing with group members,,,social,,,
time spent   talking to family online,time spent   talking to family online,,,social,,,
time spent   talking to friends online,time spent   talking to friends online,,,social,,,
time spent   thinking about the pandemic,time spent   thinking about the pandemic,,,individual/human,,,
time spent  cooking ⎺ preparation,time spent  cooking,, ⎺ preparation,individual/human,,,
time spent  communicating online,time spent  communicating online,,,social,,,
time spent   watching TV,time spent   watching TV,,,digital,,,
time spent   watching YouTube tutorials,time spent   watching YouTube tutorials,,,digital,,,
time spent   with pets ⎼ where: at home,time spent   with pets,, ⎼ where: at home,individual/human,,,
